Rank,Ticker,Name,Sector,Industry,Index,AI_Score,Technical,Fundamental,Sentiment,RSI_Sentiment,Analyst_Sentiment,Upside_Sentiment,News_Sentiment,Sentiment_Source,Risk,RSI,MACD_Hist,Above_SMA50,Above_SMA200,Golden_Cross,Short_Interest,Insider_Buying,MarketCap
135,MEDP,Medpace,Healthcare,Diagnostics & Research,Russell1000,7.34,6.28,8.19,8.03,10.0,5.96,4.18,,rsi+analyst+upside,6.46,76.21,4.7096,1,0,0,,False,13098044416.0
136,PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,SP500,7.34,8.06,6.57,7.7,8.02,8.18,6.25,,rsi+analyst+upside,7.97,62.09,0.4503,1,1,0,,False,19825340416.0
137,NWS,News Corp (Class B),Communication Services,Entertainment,SP500,7.34,9.08,5.85,6.67,6.67,,,,rsi_only,8.8,56.67,0.0563,1,1,1,,False,16864259072.0
138,CFR,Frost Bank,Financial Services,Banks - Regional,Russell1000,7.33,8.41,6.92,6.87,7.57,5.5,6.15,,rsi+analyst+upside,6.73,60.26,0.5394,1,1,0,,False,8969929728.0
139,SAIL,SailPoint,Technology,Software - Infrastructure,Russell1000,7.33,7.94,6.36,8.56,9.44,8.54,5.92,,rsi+analyst+upside,8.22,67.78,0.18,1,1,0,,False,8655816704.0
140,DV,DoubleVerify,Communication Services,Advertising Agencies,Russell1000,7.33,6.33,7.36,8.69,9.08,6.75,9.45,,rsi+analyst+upside,8.32,66.34,0.0985,1,0,0,,False,1575309952.0
141,CDNS,Cadence Design Systems,Technology,Software - Application,SP500,7.33,8.4,6.36,7.79,8.6,8.8,4.35,,rsi+analyst+upside,7.82,64.4,0.3696,1,1,0,,False,104823865344.0
142,PAYX,Paychex,Technology,Software - Application,SP500,7.32,6.69,7.36,6.48,7.5,4.34,5.53,,rsi+analyst+upside,9.0,60.01,0.3665,1,0,0,,False,35395555328.0
143,PCG,PG&E Corporation,Utilities,Utilities - Regulated Electric,SP500,7.32,7.07,7.98,8.0,7.5,,10.0,,rsi+upside,5.36,60.0,0.0813,0,1,0,,False,36854231040.0
144,FCNCA,First Citizens BancShares,Financial Services,Banks - Regional,Russell1000,7.32,8.58,6.49,8.64,9.27,,6.11,,rsi+upside,6.39,67.1,11.1573,1,1,0,,False,24249884672.0
145,NTAP,NetApp,Technology,Software - Infrastructure,SP500,7.31,7.71,7.57,8.29,10.0,6.5,4.94,,rsi+analyst+upside,5.09,77.41,2.7361,1,1,0,,False,31692986368.0
146,JCI,Johnson Controls,Industrials,Building Products & Equipment,SP500,7.31,8.53,6.55,7.05,7.39,7.16,5.93,,rsi+analyst+upside,7.36,59.57,0.7766,1,1,0,,False,88369135616.0
147,WCC,Wesco International,Industrials,Industrial Distribution,Russell1000,7.31,6.98,7.86,6.24,5.65,8.25,6.03,,rsi+analyst+upside,7.05,52.59,-2.8144,1,1,0,,False,16874296320.0
148,ORCL,Oracle Corporation,Technology,Software - Infrastructure,SP500,7.31,7.53,7.56,7.88,7.53,8.72,8.1,,rsi+analyst+upside,5.71,60.13,0.5489,1,1,0,,False,576532185088.0
149,RPM,RPM International,Basic Materials,Specialty Chemicals,Russell1000,7.3,6.94,6.87,9.5,9.79,9.29,8.86,,rsi+analyst+upside,7.89,69.15,0.4734,1,0,0,,False,13735476224.0
150,SSNC,SS&C Technologies,Technology,Software - Application,Russell1000,7.3,6.85,7.0,7.4,6.31,8.06,10.0,,rsi+analyst+upside,8.99,55.24,0.4085,1,0,0,,False,16461005824.0
151,PODD,Insulet Corporation,Healthcare,Medical Devices,SP500,7.29,4.92,8.35,6.62,4.71,8.96,10.0,,rsi+analyst+upside,9.26,48.84,2.0733,0,0,0,,False,10918190080.0
152,DECK,Deckers Brands,Consumer Cyclical,Footwear & Accessories,SP500,7.29,7.84,6.74,8.79,10.0,6.35,7.6,,rsi+analyst+upside,6.87,74.02,0.4744,1,1,0,,False,15444257792.0
153,HUM,Humana,Healthcare,Healthcare Plans,SP500,7.29,8.02,7.14,7.29,10.0,6.06,0.37,,rsi+analyst+upside,6.3,75.59,1.7773,1,1,0,,False,42845147136.0
154,IBM,IBM,Technology,Information Technology Services,SP500,7.29,7.9,6.91,8.3,9.48,7.5,5.56,,rsi+analyst+upside,6.53,67.92,3.5564,1,1,0,,False,257194901504.0
155,MAR,Marriott International,Consumer Cyclical,Lodging,SP500,7.28,8.13,6.63,8.21,10.0,6.92,4.12,,rsi+analyst+upside,6.92,75.59,1.7439,1,1,0,,False,103376486400.0
156,WDAY,"Workday, Inc.",Technology,Software - Application,SP500,7.28,6.19,7.48,7.8,7.77,7.5,8.17,,rsi+analyst+upside,8.49,61.09,1.689,1,0,0,,False,33508126720.0
157,LECO,Lincoln Electric,Industrials,Tools & Accessories,Russell1000,7.28,6.7,7.46,5.73,5.02,6.5,7.12,,rsi+analyst+upside,8.9,50.06,-0.0048,1,1,0,,False,14412297216.0
158,PEG,Public Service Enterprise Group,Utilities,Utilities - Regulated Electric,SP500,7.28,6.13,8.23,6.44,5.91,6.93,7.55,,rsi+analyst+upside,7.3,53.65,0.0925,0,0,0,,False,39138164736.0
159,MNST,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,SP500,7.28,6.96,7.75,5.48,4.93,7.4,5.19,,rsi+analyst+upside,7.68,49.73,-0.2305,1,1,0,,False,86896017408.0
160,GE,GE Aerospace,Industrials,Aerospace & Defense,SP500,7.27,7.8,7.09,9.07,10.0,8.86,6.5,,rsi+analyst+upside,5.52,76.01,1.8625,1,1,0,,False,338577031168.0
161,JBL,Jabil,Technology,Electronic Components,SP500,7.27,6.78,7.71,6.27,7.41,,1.73,,rsi+upside,7.6,59.63,-1.8085,1,1,0,,False,36808810496.0
162,REYN,Reynolds Consumer Products,Consumer Cyclical,Packaging & Containers,Russell1000,7.27,7.23,7.35,8.33,8.67,,7.0,,rsi+upside,6.38,64.67,0.0672,1,0,0,,False,4833949696.0
163,AON,Aon plc,Financial Services,Insurance Brokers,SP500,7.27,7.13,7.26,5.98,4.79,7.5,8.04,,rsi+analyst+upside,8.49,49.15,0.9146,1,0,0,,False,70928908288.0
164,MTB,M&T Bank,Financial Services,Banks - Regional,SP500,7.27,8.01,7.05,9.16,10.0,,5.79,,rsi+upside,5.17,77.7,1.4984,1,1,0,,False,32881307648.0
165,AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,SP500,7.26,6.66,7.71,7.55,6.87,7.95,9.18,,rsi+analyst+upside,6.92,57.5,1.8284,1,0,0,,False,56271585280.0
166,AVB,AvalonBay Communities,Real Estate,REIT - Residential,SP500,7.26,8.05,6.58,6.22,6.41,6.25,5.64,,rsi+analyst+upside,8.38,55.63,-0.0683,1,1,1,,False,26782607360.0
167,NWSA,News Corp (Class A),Communication Services,Entertainment,SP500,7.26,8.15,6.04,7.84,6.81,8.75,10.0,,rsi+analyst+upside,8.74,57.25,0.0498,1,1,0,,False,14722159616.0
168,GL,Globe Life,Financial Services,Insurance - Life,SP500,7.25,8.45,6.68,5.89,4.91,7.73,6.99,,rsi+analyst+upside,7.46,49.64,0.0405,1,1,0,,False,12406468608.0
169,DCI,Donaldson Company,Industrials,Specialty Industrial Machinery,Russell1000,7.25,6.21,7.43,6.58,6.36,6.25,7.54,,rsi+analyst+upside,9.23,55.46,0.2682,0,0,0,,False,9817666560.0
170,TKR,Timken Company,Industrials,Tools & Accessories,Russell1000,7.25,8.0,6.96,8.46,10.0,7.08,5.23,,rsi+analyst+upside,5.8,80.72,0.8449,1,1,0,,False,9291415552.0
171,RBRK,Rubrik,Technology,Software - Infrastructure,Russell1000,7.25,6.34,7.17,8.1,6.92,9.74,10.0,,rsi+analyst+upside,8.73,57.68,-0.0442,1,1,0,,False,14175413248.0
172,SNA,Snap-on,Industrials,Tools & Accessories,SP500,7.24,8.18,6.62,8.34,10.0,6.14,5.55,,rsi+analyst+upside,6.49,71.87,1.7499,1,1,0,,False,19878467584.0
173,CRUS,Cirrus Logic,Technology,Semiconductors,Russell1000,7.24,6.86,7.13,6.52,6.18,7.5,6.58,,rsi+analyst+upside,8.81,54.72,-0.7566,1,1,0,,False,7990197248.0
174,IBKR,Interactive Brokers,Financial Services,Capital Markets,SP500,7.24,6.88,7.47,6.04,5.68,8.25,4.9,,rsi+analyst+upside,8.08,52.73,-0.1416,1,1,0,,False,142346960896.0
175,AL,Air Lease Corporation,Industrials,Rental & Leasing Services,Russell1000,7.23,7.22,7.17,9.0,10.0,,5.0,,rsi+upside,6.27,83.05,0.0217,1,1,0,,False,7282301440.0
176,BG,Bunge Global,Consumer Defensive,Farm Products,SP500,7.22,8.29,6.58,6.05,5.76,,7.19,,rsi+upside,7.78,53.03,0.4919,1,1,0,,False,24079587328.0
177,UDR,"UDR, Inc.",Real Estate,REIT - Residential,SP500,7.22,8.23,6.51,6.87,7.42,6.36,5.75,,rsi+analyst+upside,7.59,59.66,0.0625,1,1,0,,False,14476046336.0
178,FR,First Industrial Realty Trust,Real Estate,REIT - Industrial,Russell1000,7.22,5.61,8.0,5.31,4.18,7.34,6.64,,rsi+analyst+upside,9.34,46.74,-0.177,0,1,0,,False,8625185792.0
179,TIGO,Millicom,Communication Services,Telecom Services,Russell1000,7.22,6.63,7.3,6.04,6.36,6.25,4.86,,rsi+analyst+upside,8.96,55.42,-0.1857,1,1,0,,False,14262802432.0
180,ROP,Roper Technologies,Technology,Software - Application,SP500,7.22,5.49,8.09,6.43,5.53,,10.0,,rsi+upside,8.6,52.13,2.0104,0,0,0,,False,33701353472.0
181,MASI,Masimo,Healthcare,Medical Devices,Russell1000,7.22,8.58,5.89,9.0,10.0,,5.01,,rsi+upside,7.28,72.27,0.023,1,1,0,,False,9424603136.0
182,AMAT,Applied Materials,Technology,Semiconductor Equipment & Materials,SP500,7.21,8.53,6.82,8.8,9.87,8.75,5.64,,rsi+analyst+upside,4.69,69.48,2.8432,1,1,0,,False,377249824768.0
183,NYT,New York Times Company,Communication Services,Publishing,Russell1000,7.21,6.72,7.83,4.11,1.79,7.75,7.45,,rsi+analyst+upside,8.42,37.16,0.1569,0,1,0,,False,12044204032.0
184,NTRA,Natera,Healthcare,Diagnostics & Research,Russell1000,7.21,7.96,6.84,8.73,8.78,8.75,8.58,,rsi+analyst+upside,5.77,65.11,1.1695,1,1,0,,False,30442575872.0
185,MSFT,Microsoft,Technology,Software - Infrastructure,SP500,7.21,5.15,8.23,6.12,3.82,9.15,10.0,,rsi+analyst+upside,9.01,45.28,-1.8493,1,0,0,,False,2979471032320.0
186,WPC,W. P. Carey,Real Estate,REIT - Diversified,Russell1000,7.2,7.08,7.13,5.36,5.09,5.77,5.77,,rsi+analyst+upside,8.87,50.35,-0.1303,1,1,0,,False,16840190976.0
187,FTV,Fortive,Technology,Scientific & Technical Instruments,SP500,7.2,8.43,5.91,7.17,8.2,5.59,5.67,,rsi+analyst+upside,8.67,62.78,0.2122,1,1,0,,False,18910529536.0
188,VRTX,Vertex Pharmaceuticals,Healthcare,Biotechnology,SP500,7.2,8.14,6.95,7.16,6.11,8.48,8.98,,rsi+analyst+upside,6.11,54.42,0.8331,1,1,0,,False,112850780160.0
189,ADI,Analog Devices,Technology,Semiconductors,SP500,7.2,6.64,7.47,5.5,3.98,8.6,6.95,,rsi+analyst+upside,8.68,45.93,-2.5393,1,1,0,,False,189367255040.0
190,WFC,Wells Fargo,Financial Services,Banks - Diversified,SP500,7.2,6.71,7.06,9.21,10.0,7.92,8.12,,rsi+analyst+upside,7.23,74.17,0.8058,1,0,0,,False,249344245760.0
191,CR,Crane Co.,Industrials,Specialty Industrial Machinery,Russell1000,7.19,7.7,6.65,9.3,10.0,9.17,7.33,,rsi+analyst+upside,6.38,79.65,1.675,1,1,0,,False,11192846336.0
192,RBC,RBC Bearings,Industrials,Tools & Accessories,Russell1000,7.18,8.41,6.45,8.7,10.0,7.78,5.71,,rsi+analyst+upside,5.86,70.05,1.5422,1,1,0,,False,18322409472.0
193,EA,Electronic Arts,Communication Services,Electronic Gaming & Multimedia,SP500,7.18,8.33,6.57,8.04,10.0,5.26,4.95,,rsi+analyst+upside,6.16,70.61,0.2918,1,1,0,,False,50809774080.0
194,MRNA,Moderna,Healthcare,Biotechnology,SP500,7.18,6.8,7.23,4.36,4.66,5.1,2.69,,rsi+analyst+upside,9.72,48.66,0.1753,0,1,0,,False,18224394240.0
195,HPE,Hewlett Packard Enterprise,Technology,Communication Equipment,SP500,7.17,7.76,6.98,9.19,10.0,7.28,8.64,,rsi+analyst+upside,5.22,75.37,1.1662,1,1,0,,False,61522493440.0
196,IQV,IQVIA,Healthcare,Diagnostics & Research,SP500,7.17,6.74,7.0,8.17,7.59,9.13,8.94,,rsi+analyst+upside,7.89,60.37,1.2631,1,0,0,,False,30883174400.0
197,CW,Curtiss-Wright,Industrials,Aerospace & Defense,Russell1000,7.17,6.85,6.93,6.55,6.0,8.21,6.54,,rsi+analyst+upside,8.92,53.99,-1.5517,1,1,0,,False,26193686528.0
198,GTLB,GitLab,Technology,Software - Infrastructure,Russell1000,7.17,6.53,7.11,8.5,10.0,6.2,6.31,,rsi+analyst+upside,7.76,70.47,0.3237,1,0,0,,False,4947081216.0
199,NVST,Envista,Healthcare,Medical Instruments & Supplies,Russell1000,7.17,6.89,6.84,6.62,5.89,,9.55,,rsi+upside,9.08,53.55,0.0702,0,1,0,,False,3945338624.0
200,FFIV,"F5, Inc.",Technology,Software - Infrastructure,SP500,7.17,6.72,7.01,6.8,7.47,6.15,5.43,,rsi+analyst+upside,8.78,59.87,-1.2901,1,1,0,,False,21808295936.0
201,CWEN,Clearway Energy (Class C),Utilities,Utilities - Renewable,Russell1000,7.16,8.48,5.78,8.7,9.19,8.86,7.06,,rsi+analyst+upside,7.64,66.75,0.1138,1,1,0,,False,9205310464.0
202,DAL,Delta Air Lines,Industrials,Airlines,SP500,7.16,6.71,7.29,8.6,9.34,9.23,5.77,,rsi+analyst+upside,6.7,67.36,-0.0853,1,1,0,,False,52014243840.0
203,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,SP500,7.16,8.49,6.47,5.44,5.21,6.5,5.1,,rsi+analyst+upside,7.68,50.82,0.8349,1,1,0,,False,73462652928.0
204,ES,Eversource Energy,Utilities,Utilities - Regulated Electric,SP500,7.15,7.31,6.94,5.42,5.01,6.09,6.0,,rsi+analyst+upside,8.63,50.04,0.0549,0,1,0,,False,26143203328.0
205,TWLO,Twilio,Technology,Software - Infrastructure,Russell1000,7.15,8.23,6.54,6.23,6.66,8.19,2.99,,rsi+analyst+upside,7.44,56.63,1.0871,1,1,0,,False,29910833152.0
206,BURL,Burlington Stores,Consumer Cyclical,Apparel Retail,Russell1000,7.15,7.25,7.1,7.56,7.21,8.33,7.82,,rsi+analyst+upside,6.81,58.86,1.3316,0,1,0,,False,19951421440.0
207,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,SP500,7.14,8.37,6.57,6.19,6.45,6.71,4.9,,rsi+analyst+upside,7.03,55.82,0.5891,1,1,0,,False,75058372608.0
208,TFSL,Third Federal S&L,Financial Services,Banks - Regional,Russell1000,7.14,8.22,6.0,10.0,10.0,,,,rsi_only,6.46,73.28,0.0433,1,1,0,,False,4656575488.0
209,SEIC,SEI Investments Company,Financial Services,Asset Management,Russell1000,7.14,6.21,8.02,3.97,1.4,7.5,8.14,,rsi+analyst+upside,8.44,35.59,-0.4493,1,1,0,,False,10796904448.0
210,HST,Host Hotels & Resorts,Real Estate,REIT - Hotel & Motel,SP500,7.14,7.71,6.77,8.38,10.0,7.74,4.18,,rsi+analyst+upside,6.27,80.96,0.1382,1,1,0,,False,16882801664.0
211,DINO,HF Sinclair,Energy,Oil & Gas Refining & Marketing,Russell1000,7.13,6.87,7.24,6.3,6.58,6.41,5.36,,rsi+analyst+upside,7.9,56.33,-0.0977,1,1,0,,False,12457032704.0
212,EXLS,EXL Service,Technology,Information Technology Services,Russell1000,7.13,5.5,7.64,7.37,6.08,8.61,10.0,,rsi+analyst+upside,8.68,54.31,0.119,0,0,0,,False,4576612352.0
213,CEG,Constellation Energy,Utilities,Utilities - Independent Power Producers,SP500,7.13,3.77,9.0,5.99,3.71,8.81,10.0,,rsi+analyst+upside,9.03,44.85,-3.0642,0,0,0,,False,88472027136.0
214,AIZ,Assurant,Financial Services,Insurance - Property & Casualty,SP500,7.13,6.76,7.98,4.77,2.68,8.93,6.88,,rsi+analyst+upside,6.92,40.72,-0.7684,1,1,0,,False,12421097472.0
215,PH,Parker Hannifin,Industrials,Specialty Industrial Machinery,SP500,7.12,7.02,6.66,7.71,7.45,8.37,7.82,,rsi+analyst+upside,8.33,59.81,5.8214,0,1,0,,False,112180330496.0
216,AMH,American Homes 4 Rent,Real Estate,REIT - Residential,Russell1000,7.12,8.1,6.13,7.58,8.18,7.08,6.27,,rsi+analyst+upside,7.83,62.72,0.036,1,1,0,,False,13747219456.0
217,RJF,Raymond James Financial,Financial Services,Asset Management,SP500,7.12,5.78,7.9,4.75,3.16,6.61,7.64,,rsi+analyst+upside,9.02,42.66,0.159,0,0,0,,False,29027827712.0
218,LII,Lennox International,Industrials,Building Products & Equipment,SP500,7.12,7.86,6.3,6.41,6.26,6.45,6.84,,rsi+analyst+upside,8.55,55.03,1.4594,1,1,0,,False,18048481280.0
219,RYN,Rayonier,Real Estate,REIT - Specialty,Russell1000,7.12,5.96,7.15,9.4,9.45,,9.19,,rsi+upside,7.79,67.82,0.071,0,0,0,,False,6379763200.0
220,FICO,Fair Isaac,Technology,Software - Application,SP500,7.11,4.97,8.17,6.94,5.77,7.98,9.42,,rsi+analyst+upside,8.28,53.07,-9.7981,1,0,0,,False,28098797568.0
221,NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,SP500,7.11,6.79,6.63,6.82,6.39,7.78,7.18,,rsi+analyst+upside,9.35,55.54,-0.3455,1,1,0,,False,15938118656.0
222,TEAM,Atlassian,Technology,Software - Application,Russell1000,7.11,5.84,7.2,7.77,6.76,8.56,10.0,,rsi+analyst+upside,8.96,57.04,0.2113,1,0,0,,False,23600410624.0
223,MDB,MongoDB Inc.,Technology,Software - Infrastructure,Russell1000,7.11,7.79,6.84,6.77,6.13,8.41,7.04,,rsi+analyst+upside,6.78,54.51,1.396,1,1,0,,False,26417061888.0
224,EFX,Equifax,Industrials,Consulting Services,SP500,7.1,5.49,7.85,7.45,6.41,8.02,10.0,,rsi+analyst+upside,7.86,55.65,1.3213,0,0,0,,False,20448770048.0
225,TNL,Travel + Leisure Co.,Consumer Cyclical,Travel Services,Russell1000,7.09,7.97,6.28,9.58,10.0,9.17,8.72,,rsi+analyst+upside,6.07,79.12,0.8329,1,1,0,,False,4446499328.0
226,BXP,"BXP, Inc.",Real Estate,REIT - Office,SP500,7.09,8.45,5.67,8.63,10.0,7.05,6.09,,rsi+analyst+upside,7.58,71.13,0.2577,1,1,0,,False,11756071936.0
227,REG,Regency Centers,Real Estate,REIT - Retail,SP500,7.09,6.08,7.38,6.01,5.44,7.26,6.45,,rsi+analyst+upside,8.98,51.78,-0.0394,0,1,0,,False,14833290240.0
228,PINS,Pinterest,Communication Services,Internet Content & Information,Russell1000,7.09,6.62,6.77,8.49,8.58,7.37,9.34,,rsi+analyst+upside,8.08,64.31,0.2127,1,0,0,,False,11897741312.0
229,LFUS,Littelfuse,Technology,Electronic Components,Russell1000,7.08,6.87,7.37,7.36,7.83,7.5,5.79,,rsi+analyst+upside,6.43,61.32,-2.6714,1,1,0,,False,11160878080.0
230,VMC,Vulcan Materials Company,Basic Materials,Building Materials,SP500,7.08,6.08,7.05,6.85,5.94,7.93,8.5,,rsi+analyst+upside,9.32,53.77,1.0427,0,0,0,,False,35829219328.0
231,COKE,Coca-Cola Consolidated,Consumer Defensive,Beverages - Non-Alcoholic,Russell1000,7.08,6.95,7.18,7.41,7.41,,,,rsi_only,6.78,59.64,1.1763,0,1,0,,False,12402259968.0
232,EMR,Emerson Electric,Industrials,Specialty Industrial Machinery,SP500,7.08,7.96,6.15,8.01,8.17,7.59,7.95,,rsi+analyst+upside,7.5,62.68,0.1844,1,1,0,,False,78027522048.0
233,TRU,TransUnion,Financial Services,Financial Data & Stock Exchanges,Russell1000,7.08,5.73,8.03,6.77,5.23,8.18,10.0,,rsi+analyst+upside,7.15,50.91,0.0457,0,0,0,,False,13355255808.0
234,UAL,United Airlines Holdings,Industrials,Airlines,SP500,7.08,6.6,6.99,9.03,8.92,9.13,9.24,,rsi+analyst+upside,6.98,65.69,-0.0885,1,1,0,,False,34505007104.0
235,NU,Nubank,Financial Services,Banks - Regional,Russell1000,7.07,3.62,9.09,5.53,2.94,8.81,10.0,,rsi+analyst+upside,8.94,41.77,-0.0643,0,0,0,,False,57198387200.0
236,ASML,ASML Holding,Technology,Semiconductor Equipment & Materials,NDX100,7.07,8.43,6.26,8.61,10.0,8.81,4.25,,rsi+analyst+upside,5.73,72.9,9.8152,1,1,0,,False,656004022272.0
237,DDS,Dillard's,Consumer Cyclical,Department Stores,Russell1000,7.06,7.55,6.74,8.39,10.0,,1.93,,rsi+upside,6.15,79.83,6.4107,1,1,0,,False,9449877504.0
238,CRWD,CrowdStrike,Technology,Software - Infrastructure,SP500,7.05,6.54,7.07,6.78,6.44,8.33,6.23,,rsi+analyst+upside,8.2,55.76,-6.0632,1,1,0,,False,159156469760.0
239,CDW,CDW Corporation,Technology,Information Technology Services,SP500,7.05,6.3,7.12,8.9,10.0,7.95,6.54,,rsi+analyst+upside,7.13,78.01,3.3129,1,0,0,,False,16733146112.0
240,AES,AES Corporation,Utilities,Utilities - Diversified,SP500,7.04,6.82,6.53,8.69,9.5,,5.45,,rsi+upside,7.93,68.0,-0.0036,1,1,0,,False,10451325952.0
241,MHK,Mohawk Industries,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Russell1000,7.03,5.66,7.55,7.4,7.49,6.41,8.13,,rsi+analyst+upside,7.95,59.96,0.0857,0,0,0,,False,6334860288.0
242,AYI,Acuity Brands,Industrials,Electrical Equipment & Parts,Russell1000,7.03,7.37,6.54,7.66,7.45,7.78,8.17,,rsi+analyst+upside,7.43,59.81,0.7471,1,0,0,,False,8922360832.0
243,CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,SP500,7.03,6.91,7.46,7.18,7.76,7.23,5.39,,rsi+analyst+upside,5.88,61.04,-0.8899,1,1,0,,False,407941709824.0
244,LUV,Southwest Airlines,Industrials,Airlines,SP500,7.02,6.3,7.09,7.35,7.93,6.1,6.88,,rsi+analyst+upside,8.05,61.73,-0.0241,1,1,0,,False,20369645568.0
245,KVUE,Kenvue,Consumer Defensive,Household & Personal Products,SP500,7.02,7.96,6.57,6.51,6.72,5.54,6.85,,rsi+analyst+upside,6.83,56.88,0.0072,1,1,0,,False,34406555648.0
246,APG,APi Group,Industrials,Engineering & Construction,Russell1000,7.02,7.1,7.09,6.64,4.95,9.0,9.34,,rsi+analyst+upside,6.94,49.8,0.1206,0,1,0,,False,18433851392.0
247,SSD,Simpson Manufacturing Company,Basic Materials,Lumber & Wood Production,Russell1000,7.02,6.69,6.99,7.2,6.87,7.5,7.87,,rsi+analyst+upside,7.66,57.48,-0.3522,1,1,0,,False,7808054272.0
248,ADP,Automatic Data Processing,Technology,Software - Application,SP500,7.01,6.58,6.91,6.41,6.69,5.69,6.29,,rsi+analyst+upside,8.55,56.76,0.6323,1,0,0,,False,91759001600.0
249,WEX,WEX Inc.,Technology,Software - Infrastructure,Russell1000,7.01,5.93,7.2,7.25,6.95,6.61,8.8,,rsi+analyst+upside,8.46,57.8,0.9361,0,0,0,,False,5154113024.0
250,WAB,Wabtec,Industrials,Railroads,SP500,7.01,5.72,7.15,6.25,4.93,8.86,7.59,,rsi+analyst+upside,9.68,49.71,-0.1116,0,1,0,,False,44175499264.0
251,J,Jacobs Solutions,Industrials,Engineering & Construction,SP500,7.01,5.78,7.38,9.56,9.45,,10.0,,rsi+upside,6.63,67.8,1.1096,0,0,0,,False,14301956096.0
252,EXPE,Expedia Group,Consumer Cyclical,Travel Services,SP500,7.01,5.77,7.43,8.84,9.22,7.08,9.46,,rsi+analyst+upside,7.03,66.87,1.4176,0,0,0,,False,27570872320.0
253,ECL,Ecolab,Basic Materials,Specialty Chemicals,SP500,7.0,6.14,6.86,7.78,7.31,8.15,8.82,,rsi+analyst+upside,8.64,59.24,1.1008,0,0,0,,False,74141900800.0
254,OKE,Oneok,Energy,Oil & Gas Midstream,SP500,7.0,6.11,8.18,3.83,1.86,7.17,6.39,,rsi+analyst+upside,7.31,37.45,-0.3261,1,1,0,,False,54907363328.0
255,NET,Cloudflare,Technology,Software - Infrastructure,Russell1000,7.0,8.15,6.74,8.18,9.83,7.57,3.82,,rsi+analyst+upside,4.7,69.34,3.3585,1,1,0,,False,81903427584.0
256,RCL,Royal Caribbean Group,Consumer Cyclical,Travel Services,SP500,7.0,6.77,7.6,8.19,7.94,8.21,8.94,,rsi+analyst+upside,4.91,61.75,1.6222,1,0,0,,False,73667796992.0
257,HHH,Howard Hughes Holdings,Real Estate,Real Estate - Development,Russell1000,7.0,6.96,6.41,7.47,6.84,,10.0,,rsi+upside,8.54,57.35,0.202,1,0,0,,False,4013330944.0
258,PLD,Prologis,Real Estate,REIT - Industrial,SP500,6.99,6.98,6.83,5.92,5.29,7.61,6.11,,rsi+analyst+upside,8.21,51.18,-0.31,1,1,0,,False,137876553728.0
259,VIRT,Virtu Financial,Financial Services,Capital Markets,Russell1000,6.99,6.56,7.73,4.25,3.48,6.07,4.72,,rsi+analyst+upside,7.47,43.92,-0.108,1,1,0,,False,11596593152.0
260,MET,MetLife,Financial Services,Insurance - Life,SP500,6.99,6.84,6.71,7.45,7.66,7.78,6.51,,rsi+analyst+upside,7.85,60.63,-0.0352,1,1,0,,False,54782210048.0
261,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,SP500,6.99,6.6,6.8,5.43,4.15,8.07,6.64,,rsi+analyst+upside,9.35,46.61,-0.1966,1,1,0,,False,62222548992.0
262,AIT,Applied Industrial Technologies,Industrials,Industrial Distribution,Russell1000,6.98,7.04,6.42,7.58,7.83,8.57,5.83,,rsi+analyst+upside,8.13,61.32,-0.1248,1,1,0,,False,11710999552.0
263,SCHW,Charles Schwab Corporation,Financial Services,Capital Markets,SP500,6.98,5.35,8.4,4.66,1.67,8.3,10.0,,rsi+analyst+upside,7.53,36.69,0.0695,0,0,0,,False,152591745024.0
264,IRM,Iron Mountain,Real Estate,REIT - Specialty,SP500,6.98,6.83,6.76,5.71,4.76,8.18,6.09,,rsi+analyst+upside,8.81,49.02,-0.8237,1,1,0,,False,36610412544.0
265,HPQ,HP Inc.,Technology,Computer Hardware,SP500,6.98,8.03,6.15,6.53,8.6,4.26,2.57,,rsi+analyst+upside,7.64,64.41,0.0479,1,1,0,,False,22172602368.0
266,RRX,Regal Rexnord,Industrials,Specialty Industrial Machinery,Russell1000,6.98,8.28,5.39,9.06,9.35,9.0,8.27,,rsi+analyst+upside,7.77,67.39,0.8687,1,1,0,,False,13682377728.0
267,VMI,Valmont Industries,Industrials,Conglomerates,Russell1000,6.98,6.97,6.86,8.23,9.18,8.33,5.3,,rsi+analyst+upside,6.56,66.7,-0.3414,1,1,0,,False,10153339904.0
268,RPRX,Royalty Pharma,Healthcare,Biotechnology,Russell1000,6.98,6.87,7.22,8.2,8.64,8.75,6.33,,rsi+analyst+upside,5.66,64.55,-0.0333,1,1,0,,False,31774420992.0
269,GLW,Corning Inc.,Technology,Electronic Components,SP500,6.98,6.68,6.71,6.48,6.16,7.97,5.93,,rsi+analyst+upside,8.76,54.66,-1.489,1,1,0,,False,147126026240.0
